Date,Close Price,Volume
2020-12-18,310.06,41173400
2020-12-21,308.92,37095500
2020-12-22,309.76,26176300
2020-12-23,308.2,21201300
2020-12-24,309.56,16785000
2020-12-25,309.56,16785000
2020-12-28,312.68,22497700
2020-12-29,312.96,25871900
2020-12-30,312.97,18138100
2020-12-31,313.74,21611400
2021-01-01,313.74,21611400
2021-01-04,309.31,45305900
2021-01-05,311.86,29323400
2021-01-06,307.54,52809600
2021-01-07,314.98,30394800
2021-01-08,319.03,33955800
2021-01-11,314.42,32746400
2021-01-12,313.92,29266800
2021-01-13,316.04,22898400
2021-01-14,314.35,23500100
2021-01-15,311.86,35118700
2021-01-18,311.86,35118700
2021-01-19,316.41,24537000
2021-01-20,323.77,30728100
2021-01-21,326.36,25130600
2021-01-22,325.42,21609400
2021-01-25,328.11,39080600
2021-01-26,328.59,25498100
2021-01-27,319.43,55264000
2021-01-28,321.32,42836300
2021-01-29,314.56,55259000
2021-02-01,322.42,35646000
2021-02-02,327.68,33930800
2021-02-03,326.38,24824500
2021-02-04,330.24,22350900
2021-02-05,331.36,22732000
2021-02-08,333.58,20462800
2021-02-09,333.51,17597500
2021-02-10,332.75,28068700
2021-02-11,334.58,22046100
2021-02-12,336.45,20346800
2021-02-15,336.45,20346800
2021-02-16,335.54,27080800
2021-02-17,333.93,31360300
2021-02-18,332.47,32236200
2021-02-19,331.02,39157700
2021-02-22,322.44,47256900
2021-02-23,321.48,97241900
2021-02-24,324.13,58206300
2021-02-25,312.83,110182600
2021-02-26,314.14,104739800
2021-03-01,323.59,49164500
2021-03-02,318.4,48370000
2021-03-03,309.16,86301100
2021-03-04,304.1,139131600
2021-03-05,308.68,121523700
2021-03-08,299.94,88409800
2021-03-09,311.77,80391100
2021-03-10,310.88,76798100
2021-03-11,318.04,53484800
2021-03-12,315.46,69315600
2021-03-15,318.83,42955700
2021-03-16,320.58,54925900
2021-03-17,321.9,78258700
2021-03-18,312.04,82718100
2021-03-19,313.14,78446200
2021-03-22,318.61,56194800
2021-03-23,317.22,53455400
2021-03-24,311.87,64803700
2021-03-25,311.33,78729000
2021-03-26,316.0,63519600
2021-03-29,315.91,54608000
2021-03-30,314.32,44635700
2021-03-31,319.13,55032500
2021-04-01,324.57,55685600
2021-04-02,324.57,55685600
2021-04-05,331.05,42172500
2021-04-06,330.82,33537200
2021-04-07,331.62,32046400
2021-04-08,335.08,29940800
2021-04-09,337.11,36664900
2021-04-12,336.67,25833000
2021-04-13,340.6,30374000
2021-04-14,336.51,42564300
2021-04-15,341.61,36342800
2021-04-16,342.01,40860100
2021-04-19,338.88,34533100
2021-04-20,336.41,38081800
2021-04-21,339.29,36598100
2021-04-22,335.2,45936100
2021-04-23,339.42,36381900
2021-04-26,341.63,30812000
2021-04-27,340.15,33187200
2021-04-28,339.0,33615700
2021-04-29,340.22,37708900
2021-04-30,337.99,38263400
2021-05-03,336.19,29729700
2021-05-04,330.14,65147000
2021-05-05,329.03,46219300
2021-05-06,331.51,46814300
2021-05-07,334.2,53324500
2021-05-10,325.76,60700500
2021-05-11,325.31,71963600
2021-05-12,316.89,91164900
2021-05-13,319.34,69877800
2021-05-14,326.39,44370000
2021-05-17,324.41,39395000
2021-05-18,322.22,36528500
2021-05-19,322.59,66319100
2021-05-20,328.83,46466100
2021-05-21,327.01,50330400
2021-05-24,332.51,32475800
2021-05-25,332.97,31280300
2021-05-26,334.13,25444900
2021-05-27,332.88,27931700
2021-05-28,333.93,29927400
2021-05-31,333.93,29927400
2021-06-01,332.82,31145400
2021-06-02,333.47,22047900
2021-06-03,330.0,37057800
2021-06-04,335.6,38736500
2021-06-07,336.6,32611900
2021-06-08,336.76,27282800
2021-06-09,336.84,21485300
2021-06-10,340.35,33702100
2021-06-11,341.24,21222800
2021-06-14,344.51,27827700
2021-06-15,342.26,35963800
2021-06-16,341.01,55399500
2021-06-17,345.34,59722700
2021-06-18,342.63,55414900
2021-06-21,344.36,32992600
2021-06-22,347.57,28941600
2021-06-23,347.74,27188500
2021-06-24,349.89,32581600
2021-06-25,349.46,28682800
2021-06-28,353.71,39130300
2021-06-29,354.99,29426000
2021-06-30,354.43,32724000
2021-07-01,354.57,29290000
2021-07-02,358.64,32727200
2021-07-05,358.64,32727200
2021-07-06,360.19,38842400
2021-07-07,360.95,35265200
2021-07-08,358.77,50890000
2021-07-09,361.01,35184500
2021-07-12,362.42,25717700
2021-07-13,362.42,39723000
2021-07-14,363.07,35336400
2021-07-15,360.52,53391600
2021-07-16,357.6,47262000
2021-07-19,354.67,64404600
2021-07-20,358.79,42183700
2021-07-21,361.56,30259900
2021-07-22,363.95,30252200
2021-07-23,368.2,31960800
2021-07-26,368.49,28438100
2021-07-27,364.43,57933100
2021-07-28,365.83,42066200
2021-07-29,366.48,25672500
2021-07-30,364.57,36484600
2021-08-02,364.6,27334100
2021-08-03,366.81,35558500
2021-08-04,367.34,29602200
2021-08-05,369.67,21443900
2021-08-06,368.05,33332100
2021-08-09,368.73,25960200
2021-08-10,366.84,35130800
2021-08-11,366.21,34249800
2021-08-12,367.53,25969200
2021-08-13,368.82,19336200
2021-08-16,368.98,34856900
2021-08-17,365.73,44793900
2021-08-18,362.21,38541900
2021-08-19,363.96,48499400
2021-08-20,367.73,39486000
2021-08-23,373.23,34034700
2021-08-24,374.37,21732900
2021-08-25,374.8,20441900
2021-08-26,372.42,29133300
2021-08-27,376.04,27104700
2021-08-30,380.26,27295700
2021-08-31,379.95,29628200
2021-09-01,380.58,28138300
2021-09-02,380.4,25453400
2021-09-03,381.57,24605400
2021-09-06,381.57,24605400
2021-09-07,382.11,23970200
2021-09-08,380.78,32949200
2021-09-09,379.47,29399000
2021-09-10,376.59,40249400
2021-09-13,376.33,48741800
2021-09-14,375.26,41826600
2021-09-15,378.05,34097900
2021-09-16,378.31,35193100
2021-09-17,373.83,60912300
2021-09-20,365.7,76203200
2021-09-21,366.15,41927500
2021-09-22,369.57,46972900
2021-09-23,372.98,44652000
2021-09-24,373.33,36056800
2021-09-27,370.35,43338100
2021-09-28,359.87,97701600
2021-09-29,359.28,58076600
2021-09-30,357.96,61384600
2021-10-01,360.18,56375500
2021-10-04,352.62,76766000
2021-10-05,357.38,47232900
2021-10-06,359.67,56806500
2021-10-07,362.97,39411200
2021-10-08,361.16,41822300
2021-10-11,358.39,34847200
2021-10-12,357.14,43905100
2021-10-13,360.0,40120800
2021-10-14,366.63,43433900
2021-10-15,368.94,40419900
2021-10-18,372.65,34513500
2021-10-19,375.47,29091000
2021-10-20,374.98,31390300
2021-10-21,377.27,25469300
2021-10-22,374.1,36275800
2021-10-25,377.93,32597800
2021-10-26,379.12,47191300
2021-10-27,380.0,45760500
2021-10-28,384.22,38007000
2021-10-29,386.11,37310100
2021-11-01,387.43,30765300
2021-11-02,389.05,25135300
2021-11-03,393.18,33748900
2021-11-04,398.22,40265300
2021-11-05,398.6,43383800
2021-11-08,398.06,29256300
2021-11-09,395.32,50490700
2021-11-10,389.51,54937400
2021-11-11,390.59,32243000
2021-11-12,394.7,34730600
2021-11-15,394.61,33716900
2021-11-16,397.42,27872900
2021-11-17,397.63,28703300
2021-11-18,401.75,45721500
2021-11-19,403.99,45191700
2021-11-22,399.3,61715400
2021-11-23,397.48,70098700
2021-11-24,398.76,46954400
2021-11-25,398.76,46954400
2021-11-26,391.2,51533300
2021-11-29,399.69,54447100
2021-11-30,393.82,81332700
2021-12-01,387.12,77766500
2021-12-02,389.91,84416600
2021-12-03,383.13,105349100
2021-12-06,386.2,67588800
2021-12-07,397.83,56005300
2021-12-08,399.61,39204000
2021-12-09,393.73,49973700
2021-12-10,398.01,52545800
2021-12-13,392.26,50166400
2021-12-14,388.2,75199200
2021-12-15,397.05,73858000
2021-12-16,386.84,82591400
2021-12-17,384.91,80492500
2021-12-20,380.69,65336800
2021-12-21,389.21,48899500
2021-12-22,393.95,37042200
2021-12-23,396.92,29595500
2021-12-24,396.92,29595500
2021-12-27,403.48,32820700
2021-12-28,401.61,33113700
2021-12-29,401.55,32248500
2021-12-30,400.35,23850100
2021-12-31,397.85,34752900
2022-01-03,401.68,40575900
2022-01-04,396.47,58027200
2022-01-05,384.29,75739800
2022-01-06,384.02,70814300
2022-01-07,379.86,72652300
2022-01-10,380.11,91770500
2022-01-11,385.82,68295700
2022-01-12,387.35,54576400
2022-01-13,377.66,77994000
2022-01-14,380.01,80121200
2022-01-17,380.01,80121200
2022-01-18,370.55,75450900
2022-01-19,366.48,81791500
2022-01-20,361.72,88610700
2022-01-21,351.69,143388900
2022-01-24,353.3,198685800
2022-01-25,345.11,124398400
2022-01-26,344.57,146559500
2022-01-27,341.1,95255700
2022-01-28,351.8,108167900
2022-01-31,363.05,94326400
2022-02-01,365.52,74433000
2022-02-02,368.49,78777100
2022-02-03,353.55,95384800
2022-02-04,358.01,86318300
2022-02-07,355.13,58198100
2022-02-08,359.12,64720900
2022-02-09,366.73,55766400
2022-02-10,358.43,112468500
2022-02-11,347.06,101569100
2022-02-14,347.49,80254400
2022-02-15,356.13,55128800
2022-02-16,356.04,58947100
2022-02-17,345.45,61801400
2022-02-18,341.51,80001500
2022-02-21,341.51,80001500
2022-02-22,338.08,85967100
2022-02-23,329.42,86215400
2022-02-24,340.49,130614100
2022-02-25,345.77,78842100
2022-02-28,346.8,77515500
2022-03-01,341.49,67407000
2022-03-02,347.22,70609000
2022-03-03,342.26,71089400
2022-03-04,337.3,76936300
2022-03-07,324.86,89933800
2022-03-08,323.35,116153900
2022-03-09,334.99,64723400
2022-03-10,331.27,69362700
2022-03-11,324.4,66228400
2022-03-14,318.17,79802600
2022-03-15,328.15,76471000
2022-03-16,340.32,105243000
2022-03-17,344.44,67810000
2022-03-18,351.49,85446300
2022-03-21,350.08,73799100
2022-03-22,356.96,63345900
2022-03-23,351.83,70615500
2022-03-24,359.65,53555300
2022-03-25,359.35,57584200
2022-03-28,364.91,56833900
2022-03-29,371.19,68073000
2022-03-30,367.09,68757700
2022-03-31,362.54,67011400
2022-04-01,361.85,54527800
2022-04-04,369.3,45950200
2022-04-05,361.1,62738700
2022-04-06,353.26,90077100
2022-04-07,354.1,63777400
2022-04-08,349.15,61956100
2022-04-11,340.89,66107400
2022-04-12,339.45,72790200
2022-04-13,346.35,61367800
2022-04-14,338.43,73519400
2022-04-15,338.43,73519400
2022-04-18,338.69,58560600
2022-04-19,346.26,56515700
2022-04-20,341.21,65500000
2022-04-21,334.15,75801000
2022-04-22,325.4,82562100
2022-04-25,329.58,101755900
2022-04-26,317.14,105819600
2022-04-27,316.76,111204200
2022-04-28,328.01,99450000
2022-04-29,313.25,91977900
2022-05-02,318.48,115511800
2022-05-03,318.82,78185500
2022-05-04,329.6,116083400
2022-05-05,313.0,154607400
2022-05-06,309.25,139572800
2022-05-09,297.15,113387300
2022-05-10,300.76,124124600
2022-05-11,291.84,140326100
2022-05-12,291.15,120910900
2022-05-13,301.94,83684900
2022-05-16,298.44,59190400
2022-05-17,306.17,62715300
2022-05-18,291.14,79477100
2022-05-19,289.58,79920700
2022-05-20,288.68,91764200
2022-05-23,293.48,63648400
2022-05-24,287.24,73491100
2022-05-25,291.26,67144500
2022-05-26,299.33,59462200
2022-05-27,309.1,66985600
2022-05-30,309.1,66985600
2022-05-31,308.28,60968300
2022-06-01,306.0,65341700
2022-06-02,314.38,59291300
2022-06-03,306.2,60914700
2022-06-06,307.22,51785000
2022-06-07,309.87,44900300
2022-06-08,307.64,38342100
2022-06-09,299.4,55900500
2022-06-10,288.84,85963500
2022-06-13,275.41,94442000
2022-06-14,275.91,64697500
2022-06-15,282.8,86051400
2022-06-16,271.39,81910300
2022-06-17,274.69,82703400
2022-06-20,274.69,82703400
2022-06-21,281.08,51633700
2022-06-22,280.67,67472900
2022-06-23,284.85,57457800
2022-06-24,294.61,58422300
2022-06-27,292.45,54151500
2022-06-28,283.54,61609800
2022-06-29,283.8,57302700
2022-06-30,280.28,79313600
2022-07-01,282.13,56675100
2022-07-04,282.13,56675100
2022-07-05,286.96,61829300
2022-07-06,288.8,63194700
2022-07-07,294.98,56620100
2022-07-08,295.35,59895500
2022-07-11,289.04,55273900
2022-07-12,286.24,55797100
2022-07-13,285.65,73939400
2022-07-14,286.67,63741800
2022-07-15,291.87,63818100
2022-07-18,289.4,59519600
2022-07-19,298.3,55172600
2022-07-20,303.03,67769400
2022-07-21,307.38,55049400
2022-07-22,301.99,57127700
2022-07-25,300.27,40582400
2022-07-26,294.37,50074100
2022-07-27,306.81,69304400
2022-07-28,309.81,55139900
2022-07-29,315.46,57501000
2022-08-01,315.27,46358800
2022-08-02,314.33,48676500
2022-08-03,322.89,53735700
2022-08-04,324.4,38973700
2022-08-05,321.75,53894000
2022-08-08,320.71,43878500
2022-08-09,317.08,39764200
2022-08-10,325.93,51459600
2022-08-11,324.08,45897700
2022-08-12,330.39,40928400
2022-08-15,333.06,38266600
2022-08-16,332.28,41186900
2022-08-17,328.49,47842200
2022-08-18,329.28,41937200
2022-08-19,322.86,51770600
2022-08-22,314.36,51098900
2022-08-23,314.1,39497100
2022-08-24,315.01,38057100
2022-08-25,320.58,38098300
2022-08-26,307.44,69047700
2022-08-29,304.41,48321900
2022-08-30,301.02,51184500
2022-08-31,299.27,50044000
2022-09-01,299.4,57990700
2022-09-02,295.17,64666800
2022-09-05,295.17,64666800
2022-09-06,293.05,57005400
2022-09-07,298.97,49260400
2022-09-08,300.52,55649800
2022-09-09,307.09,56125200
2022-09-12,310.74,45905700
2022-09-13,293.7,79562200
2022-09-14,296.03,54907200
2022-09-15,291.1,65299400
2022-09-16,289.32,79920400
2022-09-19,291.05,52613800
2022-09-20,288.73,51271100
2022-09-21,283.56,82931000
2022-09-22,280.07,62757100
2022-09-23,275.51,74815200
2022-09-26,274.37,71176700
2022-09-27,274.48,69780100
2022-09-28,279.94,79652100
2022-09-29,271.87,81216000
2022-09-30,267.26,78482400
2022-10-03,273.53,61267400
2022-10-04,282.13,66696900
2022-10-05,281.98,55766300
2022-10-06,279.76,53489400
2022-10-07,269.1,71354700
2022-10-10,266.41,60393000
2022-10-11,262.75,66522500
2022-10-12,262.66,50580200
2022-10-13,268.82,112894100
2022-10-14,260.74,77244300
2022-10-17,269.35,64576500
2022-10-18,271.48,69781000
2022-10-19,270.49,53115400
2022-10-20,269.11,60605500
2022-10-21,275.42,77897700
2022-10-24,278.45,63963600
2022-10-25,284.21,59014500
2022-10-26,277.93,63492400
2022-10-27,272.87,57760300
2022-10-28,281.22,62651300
2022-10-31,277.95,47742000
2022-11-01,275.11,45895900
2022-11-02,265.68,79803100
2022-11-03,260.49,70038900
2022-11-04,264.68,78313200
2022-11-07,267.59,47333800
2022-11-08,269.54,63213800
2022-11-09,263.32,64862100
2022-11-10,282.75,99256700
2022-11-11,287.96,66961800
2022-11-14,285.44,55290700
2022-11-15,289.39,73985400
2022-11-16,285.44,48859800
2022-11-17,284.81,55462100
2022-11-18,284.82,53588600
2022-11-21,281.89,40083500
2022-11-22,285.95,41873400
2022-11-23,288.82,46390000
2022-11-24,288.82,46390000
2022-11-25,286.92,15498800
2022-11-28,282.71,38714200
2022-11-29,280.57,35618900
2022-11-30,293.36,74718100
2022-12-01,293.72,51547300
2022-12-02,292.55,53583200
2022-12-05,287.64,41482100
2022-12-06,281.68,53937600
2022-12-07,280.53,45614300
2022-12-08,283.85,42594900
2022-12-09,282.04,47860500
2022-12-12,285.58,35732500
2022-12-13,288.65,80667700
2022-12-14,286.51,64984400
2022-12-15,276.89,60554100
2022-12-16,274.25,68300400
2022-12-19,269.75,44167900
2022-12-20,269.54,51064200
2022-12-21,273.45,46394700
2022-12-22,266.76,60278400
2022-12-23,267.36,39373600
2022-12-26,267.36,39373600
